,x
Moropus_elatus,5989.96651
Moschus_moschiferus,3462.26766
Muntiacus_muntjak,2208.355026
Myocastor_coypus,1235.252314
Myodes_gapperi,264.4702585
Myospalax_psilurus,534.6639067
Myotis_vivesi,275.299748
Mystacina_tuberculata,228.1269882
Myzopoda_aurita,206.4784983
Nandinia_binotata,1111.393834
Natalus_major,212.8122884
Neofelis_nebulosa,1746.194841
Neohipparion_affine,4699.13073
Neoparadoxia_cecilialina,6079.597675
Neoreomys_australis,1284.912163
Neoromicia_nana,147.4932743
Neotherium_mirum,3167.017766
Neotoma_albigula,503.5307926
Nesomys_rufus,496.7396587
Noctilio_albiventris,264.3080602
Nothrotheriops_sp,4499.275299
Notostylops_pendens,1730.901581
Nycteris_tragata,276.1562326
Ochotona_pallasi,544.1501998
Odobenocetops_peruvianus,4583.539374
Odobenus_rosmarus,3883.731249
Onychomys_leucogaster,322.5187336
Oodectes_sp,952.9190751
Orycteropus_afer,2867.638141
Oryctolagus_cuniculus,1143.238511
Osbornodon_fricki,2963.964666
Otolemur_crassicaudatus,831.5662497
Otomys_angoniensis,462.9122094
Paedotherium_chapadmalensis,927.1161769
Pakicetus_attocki,3874.948887
Palaeocastor_fossor,920.6322247
Palaeoprionodon_lamandini,927.9909441
Palaeopropithecus_maximus,2536.834727
Pan_troglodytes,2199.895678
Papio_hamadryas,2076.293699
Castoroides_kansensis,3909.334637
Paraceratherium_sp,14457.91679
Paradoxurus_hermaphroditus,1247.543842
Parahippus_tyleri,3527.110445
Pedetes_capensis,1089.420677
Petromus_typicus,491.4229278
Petromyscus_shortridgei,280.1124711
Phenacocoelus_stouti,3312.708875
Phocoena_phocoena,3030.752336
Physeter_macrocephalus,36679.93338
Pipistrellus_hesperidus,174.9706
Platanista_gangetica,4025.917633
Platygonus_compressus,3894.991584
Plesictis_lemanensis,905.077533
Pleurolestodon_aequidens,4703.837339
Poebrotherium_sp,1898.397547
Pongo_pygmaeus,2149.12078
Pontoporia_blainvillei,4667.412139
Potamogale_velox,687.0100131
Potamotherium_valetoni,1422.955978
Potos_flavus,1081.879553
Prionodon_pardicolor,804.5844769
Procavia_capensis,984.7375192
Prodeinotherium_hobleyi,11368.88603
Proechimys_cuvieri,553.4638432
Proneotherium_repenningi,2440.32246
Propalaehoplophorus_australis,2244.58984
Proteles_cristata,1454.706
Protosiren_sp,3768.043927
Protypotherium_attenuatum,1112.295729
