Trend Age;Trend Temperature;Trend Temperature (long)
28.8;5.02;5.47
28.9;5.08;5.48
29.0;5.11;5.49
29.1;5.18;5.50
29.2;5.31;5.50
29.3;5.48;5.50
29.4;5.69;5.50
29.5;5.86;5.51
29.6;5.97;5.51
29.7;6.00;5.53
29.8;5.98;5.54
29.9;5.91;5.57
30.0;5.82;5.59
30.1;5.72;5.62
30.2;5.64;5.64
30.3;5.59;5.67
30.4;5.57;5.69
30.5;5.57;5.71
30.6;5.60;5.74
30.7;5.64;5.75
30.8;5.67;5.77
30.9;5.67;5.78
31.0;5.65;5.79
31.1;5.64;5.80
31.2;5.65;5.81
31.3;5.69;5.81
31.4;5.75;5.82
31.5;5.82;5.83
31.6;5.90;5.84
31.7;5.97;5.85
31.8;6.04;5.85
31.9;6.11;5.86
32.0;6.15;5.86
32.1;6.15;5.87
32.2;6.12;5.87
32.3;6.06;5.87
32.4;5.94;5.87
32.5;5.77;5.88
32.6;5.65;5.88
32.7;5.67;5.89
32.8;5.85;5.90
32.9;6.13;5.91
33.0;6.33;5.93
33.1;6.32;5.95
33.2;6.08;5.97
33.3;5.71;6.01
33.4;5.39;6.04
33.5;5.25;6.08
33.6;5.31;6.13
33.7;5.48;6.17
33.8;5.62;6.23
33.9;5.73;6.28
34.0;5.87;6.34
34.1;6.08;6.39
34.2;6.34;6.45
34.3;6.58;6.51
34.4;6.72;6.57
34.5;6.74;6.64
34.6;6.72;6.70
34.7;6.81;6.77
34.8;7.10;6.84
34.9;7.36;6.91
35.0;7.63;6.98
35.1;7.80;7.06
35.2;7.81;7.12
35.3;7.67;7.19
35.4;7.46;7.24
35.5;7.28;7.28
35.6;7.21;7.31
35.7;7.23;7.34
35.8;7.21;7.35
35.9;7.21;7.36
36.0;7.25;7.35
36.1;7.39;7.35
36.2;7.59;7.34
36.3;7.94;7.32
36.4;8.19;7.31
36.5;8.32;7.30
36.6;8.26;7.30
36.7;8.00;7.30
36.8;7.58;7.30
36.9;7.09;7.31
37.0;6.63;7.32
37.1;6.30;7.34
37.2;6.15;7.36
37.3;6.23;7.38
37.4;6.44;7.40
37.5;6.64;7.42
37.6;6.80;7.45
37.7;6.94;7.48
37.8;7.08;7.51
37.9;7.28;7.55
38.0;7.55;7.59
38.1;7.82;7.63
38.2;8.07;7.68
38.3;8.22;7.74
38.4;8.26;7.80
38.5;8.23;7.87
38.6;8.18;7.95
38.7;8.12;8.02
38.8;8.05;8.10
38.9;8.00;8.17
39.0;8.03;8.24
39.1;8.19;8.30
39.2;8.50;8.36
39.3;8.82;8.41
39.4;8.97;8.46
39.5;8.93;8.50
39.6;8.79;8.53
39.7;8.66;8.57
39.8;8.62;8.60
39.9;8.66;8.64
40.0;8.76;8.68
40.1;8.89;8.72
40.2;9.00;8.76
40.3;9.00;8.81
40.4;8.89;8.86
40.5;8.72;8.91
40.6;8.59;8.97
40.7;8.54;9.02
40.8;8.54;9.08
40.9;8.56;9.13
41.0;8.58;9.18
41.1;8.62;9.22
41.2;8.73;9.26
41.3;8.94;9.30
41.4;9.23;9.34
41.5;9.55;9.37
41.6;9.83;9.40
41.7;10.04;9.43
41.8;10.19;9.45
41.9;10.34;9.47
42.0;10.42;9.49
42.1;10.41;9.51
42.2;10.32;9.52
42.3;10.17;9.54
42.4;9.98;9.55
42.5;9.78;9.56
42.6;9.60;9.57
42.7;9.46;9.59
42.8;9.36;9.60
42.9;9.29;9.62
43.0;9.26;9.63
43.1;9.27;9.65
43.2;9.30;9.66
43.3;9.31;9.68
43.4;9.28;9.69
43.5;9.18;9.70
43.6;9.03;9.72
43.7;8.87;9.74
43.8;8.78;9.77
43.9;8.86;9.80
44.0;9.14;9.83
44.1;9.60;9.88
44.2;10.17;9.94
44.3;10.71;10.00
44.4;11.08;10.07
44.5;11.19;10.16
44.6;11.05;10.24
44.7;10.75;10.33
44.8;10.40;10.43
44.9;10.13;10.52
45.0;10.01;10.61
45.1;10.01;10.70
45.2;10.10;10.79
45.3;10.27;10.88
45.4;10.50;10.96
45.5;10.75;11.03
45.6;11.03;11.11
45.7;11.36;11.18
45.8;11.71;11.25
45.9;12.07;11.32
46.0;12.30;11.39
46.1;12.25;11.46
46.2;12.07;11.54
46.3;11.88;11.62
