AZ_order,Filename,Tip_Label,Final_name,Superorder,Order,Order_colour,Family,Collection,Specimen,Scan Location,Status,Geologic Age,Habitat,Locomotion,Diet,Social,Activity,Development
27,Ateles_belzebuth,Ateles_belzebuth,Ateles_belzebuth,Euarchontaglires,Primates,#006D2C,Atelidae,NHMUK ZD,1854.12.11.1,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
28,Atherudus_africanus,Atherurus_africanus,Atherurus_africanus,Euarchontaglires,Rodentia,#A1D99B,Hystricidae,NHMUK ZD,1948.1291,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Social,Nocturnal,Precocial
29,Balaenoptera_musculus,Balaenoptera_musculus,Balaenoptera_musculus,Laurasiatheria,Cetacea,#0000CC,Balaenopteridae,NHMUK ZD,1892.3.1.1,Phenome10K,Extant,Recent,Aquatic,Aquatic,Bulk invertivore,Solitary,All,Precocial
30,Barbourofelis_morrisi,Barbourofelis_morrisi,Barbourofelis_morrisi,Laurasiatheria,Carnivora,#33CCFF,Barbourofelidae,AMNH,F:AM 79999,Morphosource,Extinct,Miocene,,Terrestrial,Carnivore,,,
31,Bauerus_dubiaquercus,Bauerus_dubiaquercus,Bauerus_dubiaquercus,Laurasiatheria,Chiroptera,#FF00FF,Vespertilionidae,AMNH,M-278725,Morphosource,Extant,Recent,Closed,Volant,Invertivore,unknown,Nocturnal,Altricial
32,Bos_domestic,Bos_taurus,Bos_taurus,Laurasiatheria,Artiodactyla,#6699FF,Bovidae,NHMUK ZD,1981.984,Phenome10K,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Precocial
33,Brachyphylla_cavernarum,Brachyphylla_cavernarum,Brachyphylla_cavernarum,Laurasiatheria,Chiroptera,#FF00FF,Phyllostomidae,NHMUK ZD,1918.4.1.11,Phenome10K,Extant,Recent,Open,Volant,Omnivore,Social,Nocturnal,Altricial
34,Bradypus_tridactylus,Bradypus_tridactylus,Bradypus_tridactylus,Xenarthra,Pilosa,#999999,Bradypodidae,LDUCZ,z.132,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Diurnal,Precocial
35,Brontops_brachycephalus,Brontops_brachycephalus,Brontops_brachycephalus,Laurasiatheria,Perissodactyla,#669999,Brontotheriidae,ROM,1703,,Extinct,Eocene,,Terrestrial,Herbivore,,,
36,Cacajao_calvus,Cacajao_calvus,Cacajao_calvus,Euarchontaglires,Primates,#006D2C,Pitheciidae,NHMUK ZD,1928.4.27.6,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
37,Caenopus_copei,Caenopus_copei,Caenopus_copei,Laurasiatheria,Perissodactyla,#669999,Rhinocerotidae,YPM,10253,Phenome10K,Extinct,Eocene,,Terrestrial,Herbivore,,,
38,Cainotherium_laticurvatum,Cainotherium_laticurvatum,Cainotherium_laticurvatum,Laurasiatheria,Artiodactyla,#6699FF,Cainotheriidae,MNHN.F,SG13456,Phenome10K,Extinct,Miocene,,Terrestrial,Herbivore,,,
39,Callicebus_moloch,Callicebus_moloch,Plecturocebus_moloch,Euarchontaglires,Primates,#006D2C,Pitheciidae,NHMUK ZD,1908.5.9.9,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
40,Callorhinus_ursinus,Callorhinus_ursinus,Callorhinus_ursinus,Laurasiatheria,Carnivora,#33CCFF,Otariidae,MVZ,175109,Digimorph,Extant,Recent,Aquatic,Aquatic,Piscivore,Solitary,Diurnal,Altricial
41,Callosciurus_caniceps,Callosciurus_caniceps,Callosciurus_caniceps,Euarchontaglires,Rodentia,#A1D99B,Sciuridae,NHMUK ZD,1920.12.4.18,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Diurnal,Altricial
42,Camelus_dromedarius,Camelus_dromedarius,Camelus_dromedarius,Laurasiatheria,Artiodactyla,#6699FF,Camelidae,NMV,R5444,Digimorph,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Precocial
