,x
Moropus_elatus,5989.758565
Moschus_moschiferus,3462.198924
Muntiacus_muntjak,2208.349667
Myocastor_coypus,1235.313899
Myodes_gapperi,264.4928476
Myospalax_psilurus,534.7110398
Myotis_vivesi,275.2978905
Mystacina_tuberculata,228.1195796
Myzopoda_aurita,206.4732851
Nandinia_binotata,1111.373894
Natalus_major,212.8050251
Neofelis_nebulosa,1746.173263
Neohipparion_affine,4698.898541
Neoparadoxia_cecilialina,6079.789517
Neoreomys_australis,1284.966543
Neoromicia_nana,147.4895568
Neotherium_mirum,3167.038192
Neotoma_albigula,503.535934
Nesomys_rufus,496.7682719
Noctilio_albiventris,264.3027898
Nothrotheriops_sp,4499.178992
Notostylops_pendens,1730.813747
Nycteris_tragata,276.1459912
Ochotona_pallasi,544.1898441
Odobenocetops_peruvianus,4583.481582
Odobenus_rosmarus,3883.67074
Onychomys_leucogaster,322.5324998
Oodectes_sp,952.8832557
Orycteropus_afer,2867.491161
Oryctolagus_cuniculus,1143.294297
Osbornodon_fricki,2963.903319
Otolemur_crassicaudatus,831.5358872
Otomys_angoniensis,462.9241394
Paedotherium_chapadmalensis,927.0947626
Pakicetus_attocki,3875.013369
Palaeocastor_fossor,920.6700384
Palaeoprionodon_lamandini,927.9768594
Palaeopropithecus_maximus,2536.807396
Pan_troglodytes,2143.065061
Papio_hamadryas,2076.279966
Castoroides_kansensis,3909.44822
Paraceratherium_sp,14456.98592
Paradoxurus_hermaphroditus,1247.563728
Parahippus_tyleri,3527.026378
Pedetes_capensis,1089.465254
Petromus_typicus,491.4642316
Petromyscus_shortridgei,280.1351339
Phenacocoelus_stouti,3312.551098
Phocoena_phocoena,3030.80461
Physeter_macrocephalus,36679.05291
Pipistrellus_hesperidus,174.9706
Platanista_gangetica,4025.937462
Platygonus_compressus,3894.745467
Plesictis_lemanensis,905.0784788
Pleurolestodon_aequidens,4703.793517
Poebrotherium_sp,1898.344034
Pongo_pygmaeus,2150.307608
Pontoporia_blainvillei,4667.479736
Potamogale_velox,690.3562718
Potamotherium_valetoni,1422.928338
Potos_flavus,1081.886545
Prionodon_pardicolor,804.5759823
Procavia_capensis,984.7571178
Prodeinotherium_hobleyi,11368.47467
Proechimys_cuvieri,553.4916309
Proneotherium_repenningi,2440.29664
Propalaehoplophorus_australis,2244.544389
Proteles_cristata,1454.706
Protosiren_sp,3767.995374
Protypotherium_attenuatum,1112.301377
Pseudorca_crassidens,7867.002971
Pterodon_dasyuroides,2819.102495
Pteronarctos_goedertae,2420.410403
Pteropus_niger,906.2911636
Ptilocercus_lowii,451.1830125
Puelia_coarctatus,1867.934524
Puma_concolor,2302.930203
Ratufa_affinis,824.6197657
Reithrodontomys_megalotis,236.0983232
Rhinolophus_acuminatus,258.1386124
Rhinonicteris_aurantia,205.6461759
Rhinopoma_hardwickii,237.1090931
Rhizomys_sinensis,865.1012607
Rhynchocyon_petersi,841.0072658
Saccolaimus_saccolaimus,348.4359355
Saiga_tatarica,2602.69722
Saimiri_sciureus,740.0843037
Scalopus_aquaticus,349.2300609
Scelidotherium_sp,5633.328396
Schizodelphis_morckhoviensis,9074.908949
Sigmodon_leucotis,385.8151588
Sinorhinus_cornutus,6375.857619
Smilodon_sp,3914.57452
Solenodon_paradoxus,947.7473061
Sorex_monticolus,186.6032059
Spalax_leucodon,501.1803648
Coendou_spinosus,910.6423241
Stegotherium_tesselatum,1670.377177
Steno_bredanensis,5653.054649
Stenopsochoerus_sternbergi,1847.71917
Stromeriella_franconica,1118.531252
Sus_scrofa,3857.007046
Syndyoceras_cooki,3528.098371
Tachyoryctes_splendens,492.94772
Tadarida_brasiliensis,203.4967724
Talpa_occidentalis,459.9382
Tamandua_tetradactyla,1609.550425
Tamias_striatus,478.9045735
Tamiasciurus_douglasii,601.0706266
Tapirus_terrestris,4231.575995
Tarsius_tarsier,469.3456936
Taxidea_taxus,1450.495931
Tayassu_pecari,2950.683559
Teleoceras_medicornutus,6885.661744
